,Date,Next_Day_Close,Next_Day_Log_Return,Close,High,Low,Open,Volume,Sigma,Log_Return,Volatility_20D,MA_20,BOLL_Lower,BOLL_Upper,Pos_in_BBand,EMA_12,EMA_26,DIF,DEA,MACD,Dollar_Return,Gain ,RSI_6,RSI_12,RSI_24,Lowest_Low_9D,Highest_High_9D,Raw Stochastic Value,KDJ_K,KDJ_D,KDJ_J,KD_Diff,Overbought,Oversold,Log_Return_5D,Log_Return_Intra-day,Log_Hi_Lo_Ratio,Efficiency_Daily,Efficiency_Ratio_10D,Efficiency_Ratio_20D,Efficiency_Ratio_50D
1736,23/11/2021,443.805,0.00267,442.624,443.484,439.088,441.707,73206500,4.159,0.001,0.004,439.788,431.470,448.106,0.170,441.311,436.598,4.713,5.273,-1.119,0.586,0.586,55.163,48.993,70.774,438.426,447.681,45.353,60.409,68.777,43.673,-8.368,0.000,0.000,-0.00233,0.00207,0.010,0.209,0.054249051,0.452812132,0.178403617
1737,24/11/2021,433.907,-0.02256,443.805,443.928,439.787,440.610,61858800,3.410,0.003,0.004,440.521,433.700,447.341,0.241,441.695,437.132,4.563,5.131,-1.136,1.182,1.182,51.184,51.438,70.828,438.766,447.681,56.522,59.114,65.556,46.228,-6.443,0.000,0.000,0.00277,0.00723,0.009,0.772,0.468597226,0.392377813,0.193607674
1738,26/11/2021,439.230,0.01219,433.907,438.568,432.773,437.093,112669600,3.344,-0.023,0.006,440.551,433.864,447.239,-0.497,440.497,436.893,3.604,4.826,-2.443,-9.898,0.000,21.504,34.221,56.087,432.773,447.681,7.609,41.946,57.686,10.465,-15.740,0.000,0.477,-0.02317,-0.00732,0.013,-0.550,0.211078509,0.007392561,0.136699252
1739,29/11/2021,430.683,-0.01965,439.230,441.083,436.516,438.729,86268800,3.010,0.012,0.007,440.804,434.783,446.825,-0.131,440.302,437.066,3.236,4.508,-2.544,5.323,5.323,37.258,51.718,58.829,432.773,447.681,43.310,42.400,52.591,22.020,-10.190,0.000,0.000,-0.00919,0.00114,0.010,0.110,0.107358595,0.106740597,0.241008069
1740,30/11/2021,425.900,-0.01117,430.683,438.691,430.438,436.772,148559600,3.547,-0.020,0.008,440.592,433.498,447.687,-0.698,438.822,436.593,2.229,4.052,-3.646,-8.546,0.000,26.474,39.027,49.666,430.438,447.681,1.425,28.742,44.641,-3.056,-15.899,0.000,1.153,-0.02602,-0.01404,0.019,-0.738,0.351699706,0.127052123,0.161928634
1741,1/12/2021,432.423,0.01520,425.900,439.296,425.701,436.431,131939200,4.778,-0.011,0.009,440.054,430.497,449.610,-0.741,436.834,435.801,1.033,3.448,-4.830,-4.784,0.000,23.386,28.484,47.266,425.701,447.681,0.903,19.462,36.248,-14.109,-16.786,0.000,1.705,-0.03852,-0.02443,0.031,-0.775,0.508116342,0.272726485,0.09276403
1742,2/12/2021,428.660,-0.00874,432.423,434.002,425.720,426.117,127637800,5.074,0.015,0.009,439.708,429.560,449.855,-0.359,436.155,435.551,0.605,2.879,-4.550,6.523,6.523,35.932,39.029,49.297,425.701,447.681,30.580,23.168,31.888,5.729,-8.720,0.000,0.714,-0.02598,0.01469,0.019,0.761,0.251406594,0.167283408,0.103162359
1743,3/12/2021,433.737,0.01177,428.660,435.164,424.406,434.096,137331600,5.620,-0.009,0.009,439.070,427.829,450.310,-0.463,435.002,435.040,-0.038,2.296,-4.668,-3.763,0.000,30.501,33.424,45.744,424.406,447.681,18.278,21.538,28.438,7.738,-6.900,0.000,0.613,-0.01217,-0.01260,0.025,-0.505,0.361561476,0.255191913,0.067403712
1744,6/12/2021,442.709,0.02047,433.737,435.628,428.793,431.222,98977500,5.663,0.012,0.010,438.609,427.283,449.936,-0.215,434.808,434.944,-0.136,1.809,-3.892,5.077,5.077,49.750,41.022,49.145,424.406,443.928,47.797,30.291,29.056,32.761,1.235,0.000,0.000,-0.01258,0.00581,0.016,0.368,0.203464735,0.157992365,0.111233344
1745,7/12/2021,443.881,0.00264,442.709,443.276,433.605,439.050,95484700,5.638,0.020,0.011,438.579,427.303,449.854,0.183,436.023,435.519,0.504,1.548,-2.089,8.972,8.972,54.619,48.791,53.953,424.406,443.928,93.753,51.445,36.519,81.297,14.926,0.065,0.000,0.02754,0.00830,0.022,0.378,0.012282271,0.01247884,0.237102288
